1_4_array_0_0	1_4_array_0_1	1_4_array_1_0	1_4_array_1_1	1_4_array_2_0	1_4_array_2_1
65.001	65.001	67.001	67.001	69.001	69.001
65.001	65.001	67.001	67.001	69.001	69.001
65.001	65.001	67.001	67.001	69.001	69.001
65.001	65.001	67.001	67.001	69.001	69.001
65.001	65.001	67.001	67.001	69.001	69.001
65.001	65.001	67.001	67.001	69.001	69.001
65.001	65.001	67.001	67.001	69.001	69.001
65.001	65.001	67.001	67.001	69.001	69.001
65.001	65.001	67.001	67.001	69.001	69.001
65.001	65.001	67.001	67.001	69.001	69.001
