1_2_array_0_0,1_2_array_0_1,1_2_array_1_0,1_2_array_1_1,1_2_array_2_0,1_2_array_2_1
-65000,-65000,-64998,-64998,-64996,-64996
-65000,-65000,-64998,-64998,-64996,-64996
-65000,-65000,-64998,-64998,-64996,-64996
-65000,-65000,-64998,-64998,-64996,-64996
-65000,-65000,-64998,-64998,-64996,-64996
-65000,-65000,-64998,-64998,-64996,-64996
-65000,-65000,-64998,-64998,-64996,-64996
-65000,-65000,-64998,-64998,-64996,-64996
-65000,-65000,-64998,-64998,-64996,-64996
-65000,-65000,-64998,-64998,-64996,-64996
